name,url,cuisine,avgRating,numReviews,priceRange,latitude,longitude,telephone,postalCode,streetAddress,addressLocality,addressRegion,openingHoursSpecification,addressString,geoString,ratingString,full_address
Five Stuy Cafe,https://www.ubereats.com/store/five-stuy-cafe/j03Mg0xPUN641fVYDyPJXA,"['Coffee and Tea', 'American', 'Breakfast and Brunch']",,,"",40.731898,-73.977009,12127843000,10009,5 Stuyvesant Oval,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '18:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10009', 'addressCountry': 'US', 'streetAddress': '5 Stuyvesant Oval'}","{'@type': 'GeoCoordinates', 'latitude': 40.731898, 'longitude': -73.977009}",{},"Five Stuy Cafe, 5 Stuyvesant Oval, New York, NY, 10009"
Woo SoHo,https://www.ubereats.com/store/woo-soho/z69SjyNWTu6x77hdBUqr3Q,"['Korean', 'Allergy Friendly', 'Group Friendly']",4.8,75,$,40.7252194,-74.0037773,12129252364,10012,206 Spring St,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10012', 'addressCountry': 'US', 'streetAddress': '206 Spring St'}","{'@type': 'GeoCoordinates', 'latitude': 40.7252194, 'longitude': -74.0037773}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '75'}","Woo SoHo, 206 Spring St, New York, NY, 10012"
Joe's Pizza  -  Fulton Street - Fidi,https://www.ubereats.com/store/joes-pizza-fulton-street-fidi/wFKzyP4ZRvqFbxQ9S7n23g,"['Pizza', 'American', 'Italian', 'Group Friendly']",4.8,500,$$,40.7103141,-74.0076978,12122670860,10038,124 Fulton St,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '10:0', 'closes': '2:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '10:0', 'closes': '3:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '10:0', 'closes': '4:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10038', 'addressCountry': 'US', 'streetAddress': '124 Fulton St'}","{'@type': 'GeoCoordinates', 'latitude': 40.7103141, 'longitude': -74.0076978}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '500'}","Joe's Pizza  -  Fulton Street - Fidi, 124 Fulton St, New York, NY, 10038"
Buona Notte,https://www.ubereats.com/store/buona-notte/PRhvk8bWTsK30XT-NYh25Q,"['Italian', 'American', 'Pasta', 'Allergy Friendly']",,,$$,40.717725,-73.997888,12129651111,10013,120 Mulberry St,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10013', 'addressCountry': 'US', 'streetAddress': '120 Mulberry St'}","{'@type': 'GeoCoordinates', 'latitude': 40.717725, 'longitude': -73.997888}",{},"Buona Notte, 120 Mulberry St, New York, NY, 10013"
Aroy Dee Thai Kitchen - FiDi,https://www.ubereats.com/store/aroy-dee-thai-kitchen-fidi/ji4DZymuT3OkqV5xIzHJLQ,"['Thai', 'Asian', 'Salads', 'Healthy', 'Group Friendly']",4.8,157,$$,40.7096842,-74.0089699,12125289922,10038,20 John St,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '21:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:30', 'closes': '21:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:30', 'closes': '21:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:30', 'closes': '15:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:30', 'closes': '21:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:30', 'closes': '21:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:30', 'closes': '21:15'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10038', 'addressCountry': 'US', 'streetAddress': '20 John St'}","{'@type': 'GeoCoordinates', 'latitude': 40.7096842, 'longitude': -74.0089699}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '157'}","Aroy Dee Thai Kitchen - FiDi, 20 John St, New York, NY, 10038"
estancia 460,https://www.ubereats.com/store/estancia-460/uCcvaKJNT5aMMmffKPL4gQ,"['South American', 'Argentinian', 'Allergy Friendly', 'Mediterranean']",5,15,$,40.72378,-74.00974,12124315093,10013,460 Greenwich Street,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '17:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '22:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '17:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '17:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '19:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10013', 'addressCountry': 'US', 'streetAddress': '460 Greenwich Street'}","{'@type': 'GeoCoordinates', 'latitude': 40.72378, 'longitude': -74.00974}","{'@type': 'AggregateRating', 'ratingValue': 5, 'reviewCount': '15'}","estancia 460, 460 Greenwich Street, New York, NY, 10013"
Taiwan Bear House - Chinatown,https://www.ubereats.com/store/taiwan-bear-house-chinatown/sOa8yvoySoKlsZiJ_OERVw,"['Taiwanese', 'Juice and Smoothies', 'Asian', 'Allergy Friendly']",4.9,70,$,40.714605,-73.997856,12123469050,10013,11 Pell St,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10013', 'addressCountry': 'US', 'streetAddress': '11 Pell St'}","{'@type': 'GeoCoordinates', 'latitude': 40.714605, 'longitude': -73.997856}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '70'}","Taiwan Bear House - Chinatown, 11 Pell St, New York, NY, 10013"
L’express,https://www.ubereats.com/store/lexpress/h69Sd_HQRhSs1cWBKvQtBQ,"['French', 'European', 'Modern French', 'Allergy Friendly']",,,"",40.73812,-73.98762,12122545858,10003,249 Park Ave S,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '9:30', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10003', 'addressCountry': 'US', 'streetAddress': '249 Park Ave S'}","{'@type': 'GeoCoordinates', 'latitude': 40.73812, 'longitude': -73.98762}",{},"L’express , 249 Park Ave S, New York, NY, 10003"
LADY CHOW'S KITCHEN,https://www.ubereats.com/store/lady-chows-kitchen/bzVRebWwVAeEcAJibGfZvw,"['Chinese', 'Asian', 'Seafood', 'Allergy Friendly']",4.4,17,"",40.71793,-73.99671,19292729077,10013,171 Hester Street,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '20:30'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10013', 'addressCountry': 'US', 'streetAddress': '171 Hester Street'}","{'@type': 'GeoCoordinates', 'latitude': 40.71793, 'longitude': -73.99671}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '17'}","LADY CHOW'S KITCHEN, 171 Hester Street, New York, NY, 10013"
Counter and bodega,https://www.ubereats.com/store/counter-and-bodega/fKloehSaUGGVONpLJ1aSjg,"['Latin American', 'Seafood', 'Sandwiches', 'Allergy Friendly']",4.4,10,"",40.74382,-73.99611,,10011,216 7th Avenue,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '13:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:30', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '14:30', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '14:30', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '14:30', 'closes': '21:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '14:30', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:30', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '14:30', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10011', 'addressCountry': 'US', 'streetAddress': '216 7th Avenue'}","{'@type': 'GeoCoordinates', 'latitude': 40.74382, 'longitude': -73.99611}","{'@type': 'AggregateRating', 'ratingValue': 4.4, 'reviewCount': '10'}","Counter and bodega, 216 7th Avenue, New York, NY, 10011"
Handsome Rice,https://www.ubereats.com/store/handsome-rice/Y11PqpLqTWqZk7mr9W6dyA,"['Korean', 'Asian', 'Asian Fusion', 'Allergy Friendly', 'Group Friendly']",4.9,47,$$,40.7447128,-73.9812956,19179652944,10016,133 E 31st St,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10016', 'addressCountry': 'US', 'streetAddress': '133 E 31st St'}","{'@type': 'GeoCoordinates', 'latitude': 40.7447128, 'longitude': -73.9812956}","{'@type': 'AggregateRating', 'ratingValue': 4.9, 'reviewCount': '47'}","Handsome Rice, 133 E 31st St, New York, NY, 10016"
Pasta Eater,https://www.ubereats.com/store/pasta-eater/yn06TJY1SO-wcnT6gcYzUw,"['Italian', 'Pasta', 'Comfort Food', 'Allergy Friendly', 'Desserts']",4.6,32,$,40.7374781,-73.9914429,12126275910,10003,9 E 17th St,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:30', 'closes': '22:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10003', 'addressCountry': 'US', 'streetAddress': '9 E 17th St'}","{'@type': 'GeoCoordinates', 'latitude': 40.7374781, 'longitude': -73.9914429}","{'@type': 'AggregateRating', 'ratingValue': 4.6, 'reviewCount': '32'}","Pasta Eater, 9 E 17th St, New York, NY, 10003"
plado tasting bar,https://www.ubereats.com/store/plado-tasting-bar/LMuClmFeQ3mZSmlue1jNIw,"['Mediterranean', 'Seafood', 'Desserts', 'Allergy Friendly']",,,$$$,40.7223749,-73.9839693,16468505151,10009,192 E 2nd St,East Village,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '22:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '12:0', 'closes': '16:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '15:0', 'closes': '22:15'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '15:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '12:0', 'closes': '16:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'East Village', 'addressRegion': 'NY', 'postalCode': '10009', 'addressCountry': 'US', 'streetAddress': '192 E 2nd St'}","{'@type': 'GeoCoordinates', 'latitude': 40.7223749, 'longitude': -73.9839693}",{},"plado tasting bar, 192 E 2nd St, East Village, NY, 10009"
Dragon Tea,https://www.ubereats.com/store/dragon-tea/yHUvj8mXSTyoik_l3o9yvQ,"['Bubble Tea', 'Coffee and Tea', 'Taiwanese']",4.8,30,"",40.70854,-74.01365,16464747787,10006,106 Greenwich Street,New York,NY,"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '21:0'}]","{'@type': 'PostalAddress', 'addressLocality': 'New York', 'addressRegion': 'NY', 'postalCode': '10006', 'addressCountry': 'US', 'streetAddress': '106 Greenwich Street'}","{'@type': 'GeoCoordinates', 'latitude': 40.70854, 'longitude': -74.01365}","{'@type': 'AggregateRating', 'ratingValue': 4.8, 'reviewCount': '30'}","Dragon Tea, 106 Greenwich Street, New York, NY, 10006"
